nohup: ignoring input
Using device: cpu
Architecture: 8 concrete rules → 4 abstract rules
Architecture: 8 concrete rules → 4 abstract rules
======================================================================
LOGIC EXPERIMENTS 2: Hierarchical Architecture
- Layer 1: 8 concrete pattern detectors (forced constants)
- Layer 2: 4 abstract rules with variables (compose L1)
- Learning rate: 0.001
- Target network sync every 50 episodes
======================================================================
Episode    50 | Reward:  -9.943 | Epsilon: 0.7783
Episode  1150 | Reward:  -8.935 | Epsilon: 0.0100 | Loss: 96.2967
Episode  1200 | Reward:  -9.784 | Epsilon: 0.0100 | Loss: 66.4231
Episode  1250 | Reward:  -7.640 | Epsilon: 0.0100 | Loss: 79.4269
Episode  1300 | Reward:  -7.396 | Epsilon: 0.0100 | Loss: 85.8515
Episode  1350 | Reward:  -5.728 | Epsilon: 0.0100 | Loss: 79.8547
Episode  1400 | Reward: -11.876 | Epsilon: 0.0100 | Loss: 112.3476
Episode  1450 | Reward: -11.597 | Epsilon: 0.0100 | Loss: 78.0782
Episode  1500 | Reward: -10.192 | Epsilon: 0.0100 | Loss: 54.5094
Episode  1550 | Reward:  -8.939 | Epsilon: 0.0100 | Loss: 95.3971
Episode  1600 | Reward: -12.732 | Epsilon: 0.0100 | Loss: 94.7868
Episode  1650 | Reward: -12.979 | Epsilon: 0.0100 | Loss: 76.4855
Episode  1700 | Reward:  -5.370 | Epsilon: 0.0100 | Loss: 114.3856
Episode  1750 | Reward:  -9.152 | Epsilon: 0.0100 | Loss: 56.3560
Episode  1800 | Reward:  -6.469 | Epsilon: 0.0100 | Loss: 85.7451
Episode  1850 | Reward:  -7.333 | Epsilon: 0.0100 | Loss: 79.6775
Episode  1900 | Reward:  -5.575 | Epsilon: 0.0100 | Loss: 83.7003
Episode  1950 | Reward:  -3.083 | Epsilon: 0.0100 | Loss: 92.8567
Episode  2000 | Reward:  -4.027 | Epsilon: 0.0100 | Loss: 112.6910
Model saved to PyTorch_models/model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:02).dict
✓ Model saved: model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:02)
Episode  2050 | Reward: -12.390 | Epsilon: 0.0100 | Loss: 88.7201
Episode  2100 | Reward:  -7.722 | Epsilon: 0.0100 | Loss: 68.3580
Episode  2150 | Reward:  -9.084 | Epsilon: 0.0100 | Loss: 75.4343
Episode  2200 | Reward:  -9.321 | Epsilon: 0.0100 | Loss: 123.5836
Episode  2250 | Reward:  -5.610 | Epsilon: 0.0100 | Loss: 81.5936
Episode  2300 | Reward:  -8.147 | Epsilon: 0.0100 | Loss: 77.7693
Episode  2350 | Reward:  -3.621 | Epsilon: 0.0100 | Loss: 97.6184
Episode  2400 | Reward:  -5.972 | Epsilon: 0.0100 | Loss: 93.4858
Episode  2450 | Reward:  -4.897 | Epsilon: 0.0100 | Loss: 137.5959
Episode  2500 | Reward:  -6.909 | Epsilon: 0.0100 | Loss: 108.3685
Episode  2550 | Reward:  -9.412 | Epsilon: 0.0100 | Loss: 83.4260
Episode  2600 | Reward:  -8.712 | Epsilon: 0.0100 | Loss: 79.0322
Episode  2650 | Reward: -11.605 | Epsilon: 0.0100 | Loss: 71.0386
Episode  2700 | Reward:  -9.783 | Epsilon: 0.0100 | Loss: 73.0876
Episode  2750 | Reward: -15.162 | Epsilon: 0.0100 | Loss: 122.9441
Episode  2800 | Reward: -10.818 | Epsilon: 0.0100 | Loss: 106.1787
Episode  2850 | Reward: -11.613 | Epsilon: 0.0100 | Loss: 87.4684
Episode  2900 | Reward:  -9.028 | Epsilon: 0.0100 | Loss: 73.4824
Episode  2950 | Reward:  -7.793 | Epsilon: 0.0100 | Loss: 146.5973
Episode  3000 | Reward:  -9.195 | Epsilon: 0.0100 | Loss: 118.1922
Model saved to PyTorch_models/model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:03).dict
✓ Model saved: model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:03)
Episode  3050 | Reward: -10.209 | Epsilon: 0.0100 | Loss: 111.3866
Episode  3100 | Reward:  -8.466 | Epsilon: 0.0100 | Loss: 93.2945
Episode  3150 | Reward:  -6.685 | Epsilon: 0.0100 | Loss: 65.2416
Episode  3200 | Reward: -11.698 | Epsilon: 0.0100 | Loss: 108.3246
Episode  3250 | Reward:  -7.217 | Epsilon: 0.0100 | Loss: 59.5845
Episode  3300 | Reward:  -7.672 | Epsilon: 0.0100 | Loss: 85.2969
Episode  3350 | Reward:  -9.488 | Epsilon: 0.0100 | Loss: 71.5605
Episode  3400 | Reward: -10.152 | Epsilon: 0.0100 | Loss: 90.2098
Episode  3450 | Reward: -10.292 | Epsilon: 0.0100 | Loss: 102.7975
Episode  3500 | Reward:  -9.743 | Epsilon: 0.0100 | Loss: 76.4412
Episode  3550 | Reward: -11.307 | Epsilon: 0.0100 | Loss: 67.8121
Episode  3600 | Reward: -10.724 | Epsilon: 0.0100 | Loss: 119.8002
Episode  3650 | Reward:  -8.695 | Epsilon: 0.0100 | Loss: 93.6955
Episode  3700 | Reward:  -8.822 | Epsilon: 0.0100 | Loss: 76.3732
Episode  3750 | Reward:  -7.093 | Epsilon: 0.0100 | Loss: 110.4992
Episode  3800 | Reward: -10.729 | Epsilon: 0.0100 | Loss: 120.0861
Episode  3850 | Reward:  -9.292 | Epsilon: 0.0100 | Loss: 87.5157
Episode  3900 | Reward:  -7.390 | Epsilon: 0.0100 | Loss: 104.3396
Episode  3950 | Reward: -11.802 | Epsilon: 0.0100 | Loss: 102.3315
Episode  4000 | Reward:  -9.643 | Epsilon: 0.0100 | Loss: 98.1827
Model saved to PyTorch_models/model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:04).dict
✓ Model saved: model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:04)
Episode  4050 | Reward:  -9.548 | Epsilon: 0.0100 | Loss: 76.5862
Episode  4100 | Reward:  -9.467 | Epsilon: 0.0100 | Loss: 93.2340
Episode  4150 | Reward: -10.753 | Epsilon: 0.0100 | Loss: 73.6481
Episode  4200 | Reward: -10.554 | Epsilon: 0.0100 | Loss: 99.6556
Episode  4250 | Reward:  -9.159 | Epsilon: 0.0100 | Loss: 97.4432
Episode  4300 | Reward:  -6.381 | Epsilon: 0.0100 | Loss: 102.1385
Episode  4350 | Reward:  -7.926 | Epsilon: 0.0100 | Loss: 98.6490
Episode  4400 | Reward:  -8.923 | Epsilon: 0.0100 | Loss: 113.5333
Episode  4450 | Reward:  -8.946 | Epsilon: 0.0100 | Loss: 95.0157
Episode  4500 | Reward:  -9.471 | Epsilon: 0.0100 | Loss: 120.1485
Episode  4550 | Reward: -10.105 | Epsilon: 0.0100 | Loss: 94.1458
Episode  4600 | Reward:  -8.686 | Epsilon: 0.0100 | Loss: 125.4272
Episode  4650 | Reward: -11.590 | Epsilon: 0.0100 | Loss: 129.5072
Episode  4700 | Reward:  -9.406 | Epsilon: 0.0100 | Loss: 57.1867
Episode  4750 | Reward: -10.607 | Epsilon: 0.0100 | Loss: 100.6935
Episode  4800 | Reward:  -9.106 | Epsilon: 0.0100 | Loss: 110.2016
Episode  4850 | Reward:  -9.223 | Epsilon: 0.0100 | Loss: 107.3483
Episode  4900 | Reward:  -9.878 | Epsilon: 0.0100 | Loss: 108.2718
Episode  4950 | Reward: -10.525 | Epsilon: 0.0100 | Loss: 83.5187
Episode  5000 | Reward:  -9.014 | Epsilon: 0.0100 | Loss: 117.4527
Model saved to PyTorch_models/model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:06).dict
✓ Model saved: model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:06)
Episode  5050 | Reward: -10.207 | Epsilon: 0.0100 | Loss: 94.6695
Episode  5100 | Reward: -12.744 | Epsilon: 0.0100 | Loss: 78.7799
Episode  5150 | Reward:  -8.951 | Epsilon: 0.0100 | Loss: 88.5284
Episode  5200 | Reward: -11.476 | Epsilon: 0.0100 | Loss: 89.4752
Episode  5250 | Reward: -12.573 | Epsilon: 0.0100 | Loss: 49.7855
Episode  5300 | Reward:  -9.258 | Epsilon: 0.0100 | Loss: 99.4971
Episode  5350 | Reward: -11.199 | Epsilon: 0.0100 | Loss: 91.9739
Episode  5400 | Reward: -12.383 | Epsilon: 0.0100 | Loss: 83.3104
Episode  5450 | Reward:  -9.440 | Epsilon: 0.0100 | Loss: 91.3249
Episode  5500 | Reward:  -9.052 | Epsilon: 0.0100 | Loss: 73.8672
Episode  5550 | Reward:  -9.482 | Epsilon: 0.0100 | Loss: 83.6938
Episode  5600 | Reward:  -9.049 | Epsilon: 0.0100 | Loss: 110.7352
Episode  5650 | Reward:  -8.550 | Epsilon: 0.0100 | Loss: 64.1629
Episode  5700 | Reward:  -8.641 | Epsilon: 0.0100 | Loss: 97.0172
Episode  5750 | Reward: -12.940 | Epsilon: 0.0100 | Loss: 80.7323
Episode  5800 | Reward: -14.755 | Epsilon: 0.0100 | Loss: 98.9957
Episode  5850 | Reward: -13.739 | Epsilon: 0.0100 | Loss: 94.8689
Episode  5900 | Reward: -10.699 | Epsilon: 0.0100 | Loss: 89.3193
Episode  5950 | Reward: -14.295 | Epsilon: 0.0100 | Loss: 95.8206
Episode  6000 | Reward: -13.222 | Epsilon: 0.0100 | Loss: 64.8994
Model saved to PyTorch_models/model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:07).dict
✓ Model saved: model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:07)
Episode  6050 | Reward: -14.569 | Epsilon: 0.0100 | Loss: 90.4184
Episode  6100 | Reward:  -8.996 | Epsilon: 0.0100 | Loss: 98.9136
Episode  6150 | Reward: -10.685 | Epsilon: 0.0100 | Loss: 87.7455
Episode  6200 | Reward:  -9.999 | Epsilon: 0.0100 | Loss: 74.1126
Episode  6250 | Reward: -11.102 | Epsilon: 0.0100 | Loss: 66.8463
Episode  6300 | Reward:  -9.104 | Epsilon: 0.0100 | Loss: 97.0723
Episode  6350 | Reward: -11.296 | Epsilon: 0.0100 | Loss: 74.2026
Episode  6400 | Reward:  -8.528 | Epsilon: 0.0100 | Loss: 118.8679
Episode  6450 | Reward:  -9.174 | Epsilon: 0.0100 | Loss: 92.6633
Episode  6500 | Reward: -13.726 | Epsilon: 0.0100 | Loss: 101.6544
Episode  6550 | Reward:  -8.401 | Epsilon: 0.0100 | Loss: 71.1710
Episode  6600 | Reward: -10.078 | Epsilon: 0.0100 | Loss: 72.9491
Episode  6650 | Reward: -10.016 | Epsilon: 0.0100 | Loss: 90.9832
Episode  6700 | Reward:  -8.411 | Epsilon: 0.0100 | Loss: 94.3055
Episode  6750 | Reward:  -9.912 | Epsilon: 0.0100 | Loss: 91.9002
Episode  6800 | Reward: -12.615 | Epsilon: 0.0100 | Loss: 79.8508
Episode  6850 | Reward:  -9.819 | Epsilon: 0.0100 | Loss: 80.2581
Episode  6900 | Reward:  -9.390 | Epsilon: 0.0100 | Loss: 78.2787
Episode  6950 | Reward:  -8.416 | Epsilon: 0.0100 | Loss: 111.3856
Episode  7000 | Reward: -11.616 | Epsilon: 0.0100 | Loss: 98.8705
Model saved to PyTorch_models/model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:09).dict
✓ Model saved: model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:09)
Episode  7050 | Reward:  -7.062 | Epsilon: 0.0100 | Loss: 91.3746
Episode  7100 | Reward:  -8.649 | Epsilon: 0.0100 | Loss: 87.8132
Episode  7150 | Reward:  -8.647 | Epsilon: 0.0100 | Loss: 74.1774
Episode  7200 | Reward:  -7.242 | Epsilon: 0.0100 | Loss: 54.6050
Episode  7250 | Reward: -11.007 | Epsilon: 0.0100 | Loss: 73.1092
Episode  7300 | Reward:  -9.893 | Epsilon: 0.0100 | Loss: 65.7756
Episode  7350 | Reward:  -7.670 | Epsilon: 0.0100 | Loss: 90.3463
Episode  7400 | Reward:  -7.196 | Epsilon: 0.0100 | Loss: 81.5636
Episode  7450 | Reward:  -7.671 | Epsilon: 0.0100 | Loss: 78.1163
Episode  7500 | Reward:  -6.902 | Epsilon: 0.0100 | Loss: 85.7323
Episode  7550 | Reward:  -8.521 | Epsilon: 0.0100 | Loss: 91.7049
Episode  7600 | Reward:  -9.695 | Epsilon: 0.0100 | Loss: 79.0967
Episode  7650 | Reward:  -7.381 | Epsilon: 0.0100 | Loss: 89.8378
Episode  7700 | Reward:  -7.247 | Epsilon: 0.0100 | Loss: 70.0550
Episode  7750 | Reward:  -3.266 | Epsilon: 0.0100 | Loss: 74.3216
Episode  7800 | Reward:  -5.304 | Epsilon: 0.0100 | Loss: 61.7928
Episode  7850 | Reward:  -9.942 | Epsilon: 0.0100 | Loss: 100.6148
Episode  7900 | Reward: -11.900 | Epsilon: 0.0100 | Loss: 113.1662
Episode  7950 | Reward: -12.117 | Epsilon: 0.0100 | Loss: 46.0757
Episode  8000 | Reward: -12.862 | Epsilon: 0.0100 | Loss: 77.2470
Model saved to PyTorch_models/model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:10).dict
✓ Model saved: model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:10)
Episode  8050 | Reward: -11.943 | Epsilon: 0.0100 | Loss: 84.0731
Episode  8100 | Reward: -10.654 | Epsilon: 0.0100 | Loss: 68.2652
Episode  8150 | Reward:  -8.395 | Epsilon: 0.0100 | Loss: 60.3184
Episode  8200 | Reward: -11.205 | Epsilon: 0.0100 | Loss: 105.0109
Episode  8250 | Reward: -11.346 | Epsilon: 0.0100 | Loss: 80.5014
Episode  8300 | Reward: -11.600 | Epsilon: 0.0100 | Loss: 77.5067
Episode  8350 | Reward:  -7.557 | Epsilon: 0.0100 | Loss: 89.4293
Episode  8400 | Reward:  -8.498 | Epsilon: 0.0100 | Loss: 99.3422
Episode  8450 | Reward:  -9.479 | Epsilon: 0.0100 | Loss: 72.3873
Episode  8500 | Reward:  -8.145 | Epsilon: 0.0100 | Loss: 98.2873
Episode  8550 | Reward:  -9.413 | Epsilon: 0.0100 | Loss: 58.9189
Episode  8600 | Reward:  -8.590 | Epsilon: 0.0100 | Loss: 62.1140
Episode  8650 | Reward:  -9.834 | Epsilon: 0.0100 | Loss: 68.0177
Episode  8700 | Reward: -11.862 | Epsilon: 0.0100 | Loss: 73.0015
Episode  8750 | Reward: -12.377 | Epsilon: 0.0100 | Loss: 81.8613
Episode  8800 | Reward:  -7.961 | Epsilon: 0.0100 | Loss: 69.7765
Episode  8850 | Reward: -10.276 | Epsilon: 0.0100 | Loss: 102.8646
Episode  8900 | Reward: -10.720 | Epsilon: 0.0100 | Loss: 64.7842
Episode  8950 | Reward: -12.469 | Epsilon: 0.0100 | Loss: 73.2379
Episode  9000 | Reward:  -7.482 | Epsilon: 0.0100 | Loss: 73.0620
Model saved to PyTorch_models/model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:11).dict
✓ Model saved: model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:11)
Episode  9050 | Reward:  -9.895 | Epsilon: 0.0100 | Loss: 131.1244
Episode  9100 | Reward: -11.420 | Epsilon: 0.0100 | Loss: 70.1436
Episode  9150 | Reward:  -9.665 | Epsilon: 0.0100 | Loss: 73.7771
Episode  9200 | Reward: -12.389 | Epsilon: 0.0100 | Loss: 96.9505
Episode  9250 | Reward:  -9.030 | Epsilon: 0.0100 | Loss: 102.7179
Episode  9300 | Reward: -10.665 | Epsilon: 0.0100 | Loss: 92.7043
Episode  9350 | Reward: -11.753 | Epsilon: 0.0100 | Loss: 52.8887
Episode  9400 | Reward: -10.318 | Epsilon: 0.0100 | Loss: 78.8256
Episode  9450 | Reward:  -7.938 | Epsilon: 0.0100 | Loss: 77.1519
Episode  9500 | Reward:  -8.874 | Epsilon: 0.0100 | Loss: 91.2457
Episode  9550 | Reward: -14.636 | Epsilon: 0.0100 | Loss: 107.0646
Episode  9600 | Reward:  -9.656 | Epsilon: 0.0100 | Loss: 71.5824
Episode  9650 | Reward:  -8.826 | Epsilon: 0.0100 | Loss: 100.9509
Episode  9700 | Reward: -12.669 | Epsilon: 0.0100 | Loss: 70.9840
Episode  9750 | Reward:  -9.251 | Epsilon: 0.0100 | Loss: 96.1187
Episode  9800 | Reward: -11.105 | Epsilon: 0.0100 | Loss: 76.2984
Episode  9850 | Reward: -11.269 | Epsilon: 0.0100 | Loss: 72.5080
Episode  9900 | Reward: -11.128 | Epsilon: 0.0100 | Loss: 85.8806
Episode  9950 | Reward:  -9.935 | Epsilon: 0.0100 | Loss: 83.6755
Episode 10000 | Reward: -12.629 | Epsilon: 0.0100 | Loss: 82.0258
Model saved to PyTorch_models/model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:13).dict
✓ Model saved: model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:13)
Episode 10050 | Reward:  -8.307 | Epsilon: 0.0100 | Loss: 75.7571
Episode 10100 | Reward: -11.600 | Epsilon: 0.0100 | Loss: 81.8073
Episode 10150 | Reward: -11.429 | Epsilon: 0.0100 | Loss: 72.2773
Episode 10200 | Reward: -13.680 | Epsilon: 0.0100 | Loss: 71.2362
Episode 10250 | Reward: -12.187 | Epsilon: 0.0100 | Loss: 68.0803
Episode 10300 | Reward: -10.439 | Epsilon: 0.0100 | Loss: 83.5779
Episode 10350 | Reward: -13.284 | Epsilon: 0.0100 | Loss: 84.4445
Episode 10400 | Reward:  -9.631 | Epsilon: 0.0100 | Loss: 54.5085
Episode 10450 | Reward:  -9.319 | Epsilon: 0.0100 | Loss: 66.3815
Episode 10500 | Reward:  -7.351 | Epsilon: 0.0100 | Loss: 52.3676
Episode 10550 | Reward: -10.015 | Epsilon: 0.0100 | Loss: 72.8486
Episode 10600 | Reward:  -7.348 | Epsilon: 0.0100 | Loss: 98.2404
Episode 10650 | Reward: -10.879 | Epsilon: 0.0100 | Loss: 64.2130
Episode 10700 | Reward: -12.854 | Epsilon: 0.0100 | Loss: 74.0647
Episode 10750 | Reward: -11.691 | Epsilon: 0.0100 | Loss: 77.2395
Episode 10800 | Reward: -11.097 | Epsilon: 0.0100 | Loss: 62.8591
Episode 10850 | Reward:  -8.605 | Epsilon: 0.0100 | Loss: 85.8048
Episode 10900 | Reward:  -8.873 | Epsilon: 0.0100 | Loss: 66.7351
Episode 10950 | Reward:  -9.698 | Epsilon: 0.0100 | Loss: 80.6429
Episode 11000 | Reward: -11.075 | Epsilon: 0.0100 | Loss: 71.2564
Model saved to PyTorch_models/model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:14).dict
✓ Model saved: model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:14)
Episode 11050 | Reward: -12.247 | Epsilon: 0.0100 | Loss: 87.5834
Episode 11100 | Reward: -10.041 | Epsilon: 0.0100 | Loss: 56.5179
Episode 11150 | Reward:  -5.142 | Epsilon: 0.0100 | Loss: 108.8777
Episode 11200 | Reward:  -8.217 | Epsilon: 0.0100 | Loss: 86.7085
Episode 11250 | Reward: -10.092 | Epsilon: 0.0100 | Loss: 93.5434
Episode 11300 | Reward:  -9.273 | Epsilon: 0.0100 | Loss: 53.9877
Episode 11350 | Reward:  -9.450 | Epsilon: 0.0100 | Loss: 49.9901
Episode 11400 | Reward:  -5.696 | Epsilon: 0.0100 | Loss: 96.9546
Episode 11450 | Reward:  -7.797 | Epsilon: 0.0100 | Loss: 70.5246
Episode 11500 | Reward: -10.180 | Epsilon: 0.0100 | Loss: 54.0214
Episode 11550 | Reward: -11.273 | Epsilon: 0.0100 | Loss: 54.0166
Episode 11600 | Reward: -12.994 | Epsilon: 0.0100 | Loss: 79.2704
Episode 11650 | Reward: -12.260 | Epsilon: 0.0100 | Loss: 100.9541
Episode 11700 | Reward:  -9.384 | Epsilon: 0.0100 | Loss: 73.2936
Episode 11750 | Reward:  -9.013 | Epsilon: 0.0100 | Loss: 99.8323
Episode 11800 | Reward: -10.812 | Epsilon: 0.0100 | Loss: 114.4815
Episode 11850 | Reward: -10.073 | Epsilon: 0.0100 | Loss: 81.1863
Episode 11900 | Reward:  -9.355 | Epsilon: 0.0100 | Loss: 74.2019
Episode 11950 | Reward:  -8.305 | Epsilon: 0.0100 | Loss: 47.4358
Episode 12000 | Reward:  -8.506 | Epsilon: 0.0100 | Loss: 80.0046
Model saved to PyTorch_models/model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:16).dict
✓ Model saved: model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:16)
Episode 12050 | Reward:  -6.862 | Epsilon: 0.0100 | Loss: 53.8278
Episode 12100 | Reward:  -9.611 | Epsilon: 0.0100 | Loss: 69.9109
Episode 12150 | Reward: -11.208 | Epsilon: 0.0100 | Loss: 63.7928
Episode 12200 | Reward:  -6.329 | Epsilon: 0.0100 | Loss: 74.1851
Episode 12250 | Reward:  -7.751 | Epsilon: 0.0100 | Loss: 97.8943
Episode 12300 | Reward:  -6.375 | Epsilon: 0.0100 | Loss: 67.9166
Episode 12350 | Reward:  -7.456 | Epsilon: 0.0100 | Loss: 70.7215
Episode 12400 | Reward:  -6.934 | Epsilon: 0.0100 | Loss: 71.2704
Episode 12450 | Reward:  -9.447 | Epsilon: 0.0100 | Loss: 78.4776
Episode 12500 | Reward:  -9.905 | Epsilon: 0.0100 | Loss: 39.6862
Episode 12550 | Reward:  -6.054 | Epsilon: 0.0100 | Loss: 66.1639
Episode 12600 | Reward: -10.394 | Epsilon: 0.0100 | Loss: 71.0086
Episode 12650 | Reward: -10.354 | Epsilon: 0.0100 | Loss: 77.0188
Episode 12700 | Reward:  -8.516 | Epsilon: 0.0100 | Loss: 101.8833
Episode 12750 | Reward: -11.756 | Epsilon: 0.0100 | Loss: 83.6360
Episode 12800 | Reward:  -8.903 | Epsilon: 0.0100 | Loss: 104.7014
Episode 12850 | Reward:  -6.837 | Epsilon: 0.0100 | Loss: 64.2969
Episode 12900 | Reward:  -5.394 | Epsilon: 0.0100 | Loss: 61.4811
Episode 12950 | Reward:  -5.269 | Epsilon: 0.0100 | Loss: 75.9679
Episode 13000 | Reward:  -9.587 | Epsilon: 0.0100 | Loss: 73.8080
Model saved to PyTorch_models/model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:17).dict
✓ Model saved: model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:17)
Episode 13050 | Reward:  -5.091 | Epsilon: 0.0100 | Loss: 69.9782
Episode 13100 | Reward: -10.962 | Epsilon: 0.0100 | Loss: 51.0354
Episode 13150 | Reward:  -9.467 | Epsilon: 0.0100 | Loss: 68.1595
Episode 13200 | Reward:  -7.466 | Epsilon: 0.0100 | Loss: 83.5542
Episode 13250 | Reward:  -9.445 | Epsilon: 0.0100 | Loss: 53.0122
Episode 13300 | Reward:  -6.385 | Epsilon: 0.0100 | Loss: 88.9093
Episode 13350 | Reward:  -9.546 | Epsilon: 0.0100 | Loss: 79.6020
Episode 13400 | Reward:  -8.542 | Epsilon: 0.0100 | Loss: 97.8291
Episode 13450 | Reward:  -7.851 | Epsilon: 0.0100 | Loss: 99.9631
Episode 13500 | Reward:  -8.313 | Epsilon: 0.0100 | Loss: 48.1429
Episode 13550 | Reward:  -8.381 | Epsilon: 0.0100 | Loss: 55.6705
Episode 13600 | Reward:  -6.124 | Epsilon: 0.0100 | Loss: 84.3408
Episode 13650 | Reward:  -9.279 | Epsilon: 0.0100 | Loss: 92.6107
Episode 13700 | Reward:  -8.221 | Epsilon: 0.0100 | Loss: 54.3256
Episode 13750 | Reward:  -8.730 | Epsilon: 0.0100 | Loss: 52.1895
Episode 13800 | Reward:  -7.351 | Epsilon: 0.0100 | Loss: 65.1464
Episode 13850 | Reward:  -5.552 | Epsilon: 0.0100 | Loss: 89.1469
Episode 13900 | Reward:  -6.945 | Epsilon: 0.0100 | Loss: 77.5335
Episode 13950 | Reward: -11.364 | Epsilon: 0.0100 | Loss: 69.2132
Episode 14000 | Reward:  -7.532 | Epsilon: 0.0100 | Loss: 53.6413
Model saved to PyTorch_models/model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:19).dict
✓ Model saved: model.DQN.hierarchical.Hierarchical.M1=8,M2=4.30-11-2025(19:19)
Episode 14050 | Reward:  -8.994 | Epsilon: 0.0100 | Loss: 80.1793
Episode 14100 | Reward:  -7.587 | Epsilon: 0.0100 | Loss: 77.0694
Episode 14150 | Reward:  -8.345 | Epsilon: 0.0100 | Loss: 84.2555
Episode 14200 | Reward:  -4.916 | Epsilon: 0.0100 | Loss: 117.3615
Episode 14250 | Reward:  -7.323 | Epsilon: 0.0100 | Loss: 91.9452
Episode 14300 | Reward:  -7.322 | Epsilon: 0.0100 | Loss: 64.0743
Episode 14350 | Reward:  -8.318 | Epsilon: 0.0100 | Loss: 58.5516
Episode 14400 | Reward:  -6.203 | Epsilon: 0.0100 | Loss: 68.4861
Episode 14450 | Reward:  -7.902 | Epsilon: 0.0100 | Loss: 66.3572
Episode 14500 | Reward: -11.834 | Epsilon: 0.0100 | Loss: 113.8204
Episode 14550 | Reward:  -6.759 | Epsilon: 0.0100 | Loss: 80.8981
Episode 14600 | Reward:  -7.734 | Epsilon: 0.0100 | Loss: 81.0659
